k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
231,1.0000004292,0.9999999190,1.0000025117,1.0000055948
232,1.0000004292,0.9999999190,1.0000025117,1.0000055948
233,1.0000004292,0.9999999190,1.0000025117,1.0000055948
234,1.0000004292,0.9999999190,1.0000025117,1.0000055948
235,1.0000004292,0.9999999190,1.0000025117,1.0000055948
236,1.0000004292,0.9999999246,1.0000025136,1.0000055948
237,1.0000004292,0.9999999246,1.0000025136,1.0000055948
238,1.0000004292,0.9999999246,1.0000025136,1.0000055948
239,1.0000004292,0.9999999246,1.0000025136,1.0000055948
240,1.0000004292,0.9999999246,1.0000025136,1.0000055948
241,1.0000004292,0.9999999246,1.0000025136,1.0000055948
242,1.0000004292,0.9999999246,1.0000025136,1.0000055948
243,1.0000004292,0.9999999246,1.0000025136,1.0000055948
244,1.0000004292,0.9999999246,1.0000025136,1.0000055948
245,1.0000004292,0.9999999246,1.0000025136,1.0000055948
246,1.0000004292,0.9999999323,1.0000025136,1.0000055948
247,1.0000004292,0.9999999323,1.0000025136,1.0000055948
248,1.0000004292,0.9999999323,1.0000025136,1.0000055948
249,1.0000004292,0.9999999323,1.0000025136,1.0000055948
250,1.0000004292,0.9999999323,1.0000025136,1.0000055948
251,1.0000004292,0.9999999381,1.0000025352,1.0000055948
252,1.0000004292,0.9999999381,1.0000025352,1.0000055948
253,1.0000004292,0.9999999381,1.0000025352,1.0000055948
254,1.0000004292,0.9999999381,1.0000025352,1.0000055948
255,1.0000004292,0.9999999381,1.0000025352,1.0000055948
256,1.0000004292,0.9999999381,1.0000025352,1.0000055948
257,1.0000004292,0.9999999381,1.0000025352,1.0000055948
258,1.0000004292,0.9999999381,1.0000025352,1.0000055948
259,1.0000004292,0.9999999381,1.0000025352,1.0000055948
260,1.0000004292,0.9999999381,1.0000025352,1.0000055948
261,1.0000004292,0.9999999381,1.0000025352,1.0000055948
262,1.0000004292,0.9999999381,1.0000025352,1.0000055948
263,1.0000004292,0.9999999381,1.0000025352,1.0000055948
264,1.0000004292,0.9999999381,1.0000025352,1.0000055948
265,1.0000004292,0.9999999381,1.0000025352,1.0000055948
